Referência;MARCA;Impressora;Descrição;Capacidade;Família;Preço de Compra s/Imposto;PVD2;PVD3;Preço c/Imposto;PVD3
BI-LC22UMG;BROTHER;Tinta (Ink-jet);BROTHER LC22U MAGENTA CARTUCHO DE TINTA GENERICO LC-22UM;1.200 Páginas;181;1,04   ;1,46   ;1,41   ;6,99   ;Si
BI-LC22UYL;BROTHER;Tinta (Ink-jet);BROTHER LC22U YELLOW CARTUCHO DE TINTA GENERICO LC-22UY;1.200 Páginas;181;1,04   ;1,46   ;1,41   ;6,99   ;Si
BI-LC3213BK;BROTHER;Tinta (Ink-jet);BROTHER LC3213/LC3211 BLACK CARTUCHO DE TINTA GENERICO LC-3213BK/LC-3211BK;400 Páginas;181;3,46   ;4,84   ;4,67   ;8,99   ;Si
BI-LC3213CY;BROTHER;Tinta (Ink-jet);BROTHER LC3213/LC3211 CYAN CARTUCHO DE TINTA GENERICO LC-3213C/LC-3211C;400 Páginas;181;2,88   ;4,04   ;3,89   ;7,90   ;Si
BI-LC3213MG;BROTHER;Tinta (Ink-jet);BROTHER LC3213/LC3211 MAGENTA CARTUCHO DE TINTA GENERICO LC-3213M/LC-3211M;400 Páginas;181;2,88   ;4,04   ;3,89   ;7,90   ;Si
BI-LC3213YL;BROTHER;Tinta (Ink-jet);BROTHER LC3213/LC3211 YELLOW CARTUCHO DE TINTA GENERICO LC-3213Y/LC-3211Y;400 Páginas;181;2,88   ;4,04   ;3,89   ;7,90   ;No
BI-LC3217BK;BROTHER;Tinta (Ink-jet);BROTHER LC3217 BLACK CARTUCHO DE TINTA GENERICO LC3217BK;15 ml;181;2,52   ;3,53   ;3,40   ;9,50   ;Si
BI-LC3217CY;BROTHER;Tinta (Ink-jet);BROTHER LC3217 CYAN CARTUCHO DE TINTA GENERICO LC3217C;10 ml;181;2,07   ;2,90   ;2,80   ;7,90   ;Si
BI-LC3217MG;BROTHER;Tinta (Ink-jet);BROTHER LC3217 MAGENTA CARTUCHO DE TINTA GENERICO LC3217M;10 ml;181;2,07   ;2,90   ;2,80   ;7,90   ;Si
BI-LC3217YL;BROTHER;Tinta (Ink-jet);BROTHER LC3217 YELLOW CARTUCHO DE TINTA GENERICO LC3217Y;10 ml;181;2,07   ;2,90   ;2,80   ;7,90   ;Si
BI-LC3219XLBK;BROTHER;Tinta (Ink-jet);BROTHER LC3219XL BLACK CARTUCHO DE TINTA GENERICO LC3219XLBK;60 ml;181;4,99   ;6,98   ;6,73   ;16,90   ;Si
BI-LC3219XLCY;BROTHER;Tinta (Ink-jet);BROTHER LC3219XL CYAN CARTUCHO DE TINTA GENERICO LC3219XLC;18 ml;181;3,30   ;4,61   ;4,45   ;13,90   ;Si
BI-LC3219XLMG;BROTHER;Tinta (Ink-jet);BROTHER LC3219XL MAGENTA CARTUCHO DE TINTA GENERICO LC3219XLM;18 ml;181;3,30   ;4,61   ;4,45   ;13,90   ;Si
BI-LC3219XLYL;BROTHER;Tinta (Ink-jet);BROTHER LC3219XL YELLOW CARTUCHO DE TINTA GENERICO LC3219XLY;18 ml;181;3,30   ;4,61   ;4,45   ;13,90   ;Si
BI-LC525XLCY;BROTHER;Tinta (Ink-jet);BROTHER LC525XL CYAN CARTUCHO DE TINTA GENERICO LC525XLC;1.500 Páginas;181;0,50   ;0,70   ;0,67   ;6,90   ;Si
BI-LC525XLMG;BROTHER;Tinta (Ink-jet);BROTHER LC525XL MAGENTA CARTUCHO DE TINTA GENERICO LC525XLM;1.500 Páginas;181;0,50   ;0,70   ;0,67   ;6,90   ;Si
BI-LC525XLYL;BROTHER;Tinta (Ink-jet);BROTHER LC525XL YELLOW CARTUCHO DE TINTA GENERICO LC525XLY;1.500 Páginas;181;0,50   ;0,70   ;0,67   ;6,90   ;Si
BI-LC529XLBK;BROTHER;Tinta (Ink-jet);BROTHER LC529XL BLACK CARTUCHO DE TINTA GENERICO LC529XLBK;2.600 Páginas;181;0,66   ;0,93   ;0,89   ;6,90   ;No
BI-LC900BK;BROTHER;Tinta (Ink-jet);BROTHER LC900 BLACK CARTUCHO DE TINTA GENERICO;20 ml;181;0,27   ;0,38   ;0,37   ;3,90   ;Si
BI-LC900CY;BROTHER;Tinta (Ink-jet);BROTHER LC900 CYAN CARTUCHO DE TINTA GENERICO;12 ml;181;0,22   ;0,31   ;0,30   ;3,90   ;No
BI-LC900MG;BROTHER;Tinta (Ink-jet);BROTHER LC900 MAGENTA CARTUCHO DE TINTA GENERICO;12 ml;181;0,22   ;0,31   ;0,30   ;3,90   ;No
BI-LC900PK*5;BROTHER;Tinta (Ink-jet);BROTHER LC900 MULTIPACK DE 5 CARTUCHOS DE TINTA GENERICOS;2*20 ml y 3*12 ml;181;1,48   ;2,07   ;2,00   ;14,50   ;Si
BI-LC900YL;BROTHER;Tinta (Ink-jet);BROTHER LC900 YELLOW CARTUCHO DE TINTA GENERICO;12 ml;181;0,22   ;0,31   ;0,30   ;3,90   ;No
BI-LC980BK(YBOX);BROTHER;Tinta (Ink-jet);BROTHER LC980/LC1100 BLACK CARTUCHO DE TINTA GENERICO (Caixa Amarela);17 ml;181;0,24   ;0,34   ;0,32   ;3,90   ;Si
BI-LC980CY(YBOX);BROTHER;Tinta (Ink-jet);BROTHER LC980/LC1100 CYAN CARTUCHO DE TINTA GENERICO (Caixa Amarela);12 ml;181;0,22   ;0,31   ;0,30   ;3,90   ;Si
BI-LC980MG(YBOX);BROTHER;Tinta (Ink-jet);BROTHER LC980/LC1100 MAGENTA CARTUCHO DE TINTA GENERICO (Caixa Amarela);12 ml;181;0,22   ;0,31   ;0,30   ;3,90   ;Si
BI-LC980PK*5;BROTHER;Tinta (Ink-jet);BROTHER LC980/LC1100 MULTIPACK DE 5 CARTUCHOS DE TINTA GENERICOS;2*14.6 ml y 3*10.6 ml;181;1,24   ;1,73   ;1,67   ;14,50   ;Si
