Referência;MARCA;Impressora;Descrição;Capacidade;Família;Preço de Compra s/Imposto;PVD2;PVD3;Preço c/Imposto;PVD3
HT-CE341A;HP;Toner (Laser);HP CE341A CYAN CARTUCHO DE TONER GENERICO Nº651A;16.000 Páginas;185;38,34   ;55,59   ;51,75   ;153,90   ;Si
HT-CE342A;HP;Toner (Laser);HP CE342A YELLOW CARTUCHO DE TONER GENERICO Nº651A;16.000 Páginas;185;38,34   ;55,59   ;51,75   ;153,90   ;Si
HT-CE343A;HP;Toner (Laser);HP CE343A MAGENTA CARTUCHO DE TONER GENERICO Nº651A;16.000 Páginas;185;38,34   ;55,59   ;51,75   ;153,90   ;Si
HT-CE390A;HP;Toner (Laser);HP CE390A BLACK CARTUCHO DE TONER GENERICO Nº90A;10.000 Páginas;185;11,02   ;15,43   ;14,88   ;46,50   ;Si
HT-CE390X;HP;Toner (Laser);HP CE390X BLACK CARTUCHO DE TONER GENERICO Nº90X;24.000 Páginas;185;14,26   ;19,97   ;19,25   ;57,50   ;No
HT-CE400X;HP;Toner (Laser);HP CE400X/CE400A BLACK CARTUCHO DE TONER GENERICO Nº507X/507A;11.000 Páginas;185;13,65   ;19,10   ;18,42   ;59,90   ;Si
HT-CE401A;HP;Toner (Laser);HP CE401A CYAN CARTUCHO DE TONER GENERICO Nº507A;6.000 Páginas;185;13,27   ;18,58   ;17,92   ;59,90   ;Si
HT-CE402A;HP;Toner (Laser);HP CE402A YELLOW CARTUCHO DE TONER GENERICO Nº507A;6.000 Páginas;185;13,27   ;18,58   ;17,92   ;59,90   ;Si
HT-CE403A;HP;Toner (Laser);HP CE403A MAGENTA CARTUCHO DE TONER GENERICO Nº507A;6.000 Páginas;185;13,27   ;18,58   ;17,92   ;59,90   ;Si
HT-CE505A;HP;Toner (Laser);HP CE505A BLACK CARTUCHO DE TONER GENERICO Nº05A;2.300 Páginas;185;4,64   ;6,50   ;6,26   ;21,50   ;Si
HT-CE505A;CANON;Toner (Laser);CANON 719 BLACK CARTUCHO DE TONER GENERICO 3479B002;2.300 Páginas;185;4,64   ;6,50   ;6,26   ;21,50   ;Si
HT-CE505X;HP;Toner (Laser);HP CE505X BLACK CARTUCHO DE TONER GENERICO Nº05X;6.500 Páginas;185;5,21   ;7,29   ;7,03   ;23,50   ;Si
HT-CE505X;CANON;Toner (Laser);CANON 719H/C-EXV40 BLACK CARTUCHO DE TONER GENERICO 3480B002/3480B006;6.500 Páginas;185;5,21   ;7,29   ;7,03   ;23,50   ;Si
HT-CE740A;HP;Toner (Laser);HP CE740A BLACK CARTUCHO DE TONER GENERICO Nº307A;7.000 Páginas;185;31,00   ;44,95   ;41,85   ;114,99   ;Si
HT-CE741A;HP;Toner (Laser);HP CE741A CYAN CARTUCHO DE TONER GENERICO Nº307A;7.300 Páginas;185;31,00   ;44,95   ;41,85   ;114,99   ;Si
HT-CE742A;HP;Toner (Laser);HP CE742A YELLOW CARTUCHO DE TONER GENERICO Nº307A;7.300 Páginas;185;31,00   ;44,95   ;41,85   ;114,99   ;Si
HT-CE743A;HP;Toner (Laser);HP CE743A MAGENTA CARTUCHO DE TONER GENERICO Nº307A;7.300 Páginas;185;31,00   ;44,95   ;41,85   ;114,99   ;Si
HT-CF031A;HP;Toner (Laser);HP CF031A CYAN CARTUCHO DE TONER GENERICO Nº646A;12.500 Páginas;185;28,05   ;40,68   ;37,87   ;63,50   ;Si
HT-CF032A;HP;Toner (Laser);HP CF032A YELLOW CARTUCHO DE TONER GENERICO Nº646A;12.500 Páginas;185;28,05   ;40,68   ;37,87   ;63,50   ;Si
HT-CF033A;HP;Toner (Laser);HP CF033A MAGENTA CARTUCHO DE TONER GENERICO Nº646A;12.500 Páginas;185;28,05   ;40,68   ;37,87   ;63,50   ;Si
HT-CF214X;HP;Toner (Laser);HP CF214X/CF214A BLACK CARTUCHO DE TONER GENERICO Nº14X/14A;17.500 Páginas;185;18,63   ;27,02   ;25,15   ;89,50   ;Si
HT-CF217A;HP;Toner (Laser);HP CF217A BLACK CARTUCHO DE TONER GENERICO Nº17A;1.600 Páginas;185;15,55   ;22,55   ;21,00   ;38,99   ;No
HT-CF217A(XL);HP;Toner (Laser);HP CF217A XL BLACK CARTUCHO DE TONER GENERICO Nº17A (ALTA CAPACIDAD/JUMBO);2.500 Páginas;185;16,76   ;24,30   ;22,62   ;49,90   ;Si
HT-CF219A;HP;Toner (Laser);HP CF219A TAMBOR DE IMAGEM GENERICO Nº19A (DRUM) ;12.000 Páginas;185;22,31   ;32,35   ;30,12   ;54,90   ;Si
HT-CF226A;HP;Toner (Laser);HP CF226A BLACK CARTUCHO DE TONER GENERICO Nº26A;3.100 Páginas;185;11,43   ;16,00   ;15,42   ;52,90   ;Si
HT-CF226X;HP;Toner (Laser);HP CF226X BLACK CARTUCHO DE TONER GENERICO Nº26X;9.000 Páginas;185;14,51   ;20,31   ;19,59   ;79,90   ;Si
HT-CF230A;HP;Toner (Laser);HP CF230A BLACK CARTUCHO DE TONER GENERICO Nº30A;1.600 Páginas;185;16,27   ;23,58   ;21,96   ;38,99   ;Si
HT-CF230X;HP;Toner (Laser);HP CF230X BLACK CARTUCHO DE TONER GENERICO Nº30X;3.500 Páginas;185;22,28   ;32,31   ;30,08   ;54,90   ;No
HT-CF232A;HP;Toner (Laser);HP CF232A TAMBOR DE IMAGEM GENERICO Nº32A (DRUM);23.000 Páginas;185;26,27   ;38,10   ;35,47   ;59,90   ;Si
HT-CF233A;HP;Toner (Laser);HP CF233A BLACK CARTUCHO DE TONER GENERICO Nº33A;2.300 Páginas;185;4,16   ;5,83   ;5,62   ;38,90   ;No
HT-CF234A;HP;Toner (Laser);HP CF234A TAMBOR DE IMAGEM GENERICO Nº34A (DRUM);9.200 Páginas;185;21,83   ;31,65   ;29,47   ;54,90   ;No
HT-CF237A;HP;Toner (Laser);HP CF237A BLACK CARTUCHO DE TONER GENERICO Nº37A;11.000 Páginas;185;72,57   ;105,23   ;97,97   ;139,90   ;No
HT-CF244A;HP;Toner (Laser);HP CF244A BLACK CARTUCHO DE TONER GENERICO Nº44A;1.000 Páginas;185;16,11   ;23,36   ;21,74   ;32,90   ;Si
HT-CF256A;HP;Toner (Laser);HP CF256A BLACK CARTUCHO DE TONER GENERICO Nº56A;7.400 Páginas;185;14,90   ;20,86   ;20,12   ;28,89   ;Si
HT-CF256X;HP;Toner (Laser);HP CF256X BLACK CARTUCHO DE TONER GENERICO Nº56X;12.300 Páginas;185;19,90   ;28,86   ;26,87   ;35,90   ;Si
HT-CF279A;HP;Toner (Laser);HP CF279A BLACK CARTUCHO DE TONER GENERICO Nº79A;1.000 Páginas;185;3,22   ;4,51   ;4,35   ;18,90   ;No
HT-CF279A(XL);HP;Toner (Laser);HP CF279A XL BLACK CARTUCHO DE TONER GENERICO Nº79A (ALTA CAPACIDAD/JUMBO);2.500 Páginas;185;4,21   ;5,90   ;5,69   ;28,99   ;Si
HT-CF280A;HP;Toner (Laser);HP CF280A BLACK CARTUCHO DE TONER GENERICO Nº80A;2.700 Páginas;185;4,64   ;6,50   ;6,26   ;21,50   ;Si
HT-CF280X;HP;Toner (Laser);HP CF280X BLACK CARTUCHO DE TONER GENERICO Nº80X;6.900 Páginas;185;5,21   ;7,29   ;7,03   ;23,50   ;Si
HT-CF281A;HP;Toner (Laser);HP CF281A BLACK CARTUCHO DE TONER GENERICO Nº81A;10.500 Páginas;185;10,41   ;14,58   ;14,06   ;65,90   ;Si
HT-CF281X;HP;Toner (Laser);HP CF281X BLACK CARTUCHO DE TONER GENERICO Nº81X;25.000 Páginas;185;16,04   ;23,26   ;21,66   ;75,90   ;Si
HT-CF283A;HP;Toner (Laser);HP CF283A BLACK CARTUCHO DE TONER GENERICO Nº83A;1.500 Páginas;185;2,57   ;3,59   ;3,47   ;18,90   ;Si
HT-CF283X;CANON;Toner (Laser);CANON 737 BLACK CARTUCHO DE TONER GENERICO 9435B002;2.400 Páginas;185;3,05   ;4,27   ;4,11   ;26,90   ;Si
HT-CF283X;HP;Toner (Laser);HP CF283X BLACK CARTUCHO DE TONER GENERICO Nº83X;2.400 Páginas;185;3,05   ;4,27   ;4,11   ;26,90   ;Si
HT-CF287A;HP;Toner (Laser);HP CF287A BLACK CARTUCHO DE TONER GENERICO Nº87A;9.000 Páginas;185;22,05   ;31,98   ;29,77   ;74,90   ;Si
HT-CF287X;HP;Toner (Laser);HP CF287X BLACK CARTUCHO DE TONER GENERICO Nº87X;18.000 Páginas;185;27,21   ;39,45   ;36,73   ;94,99   ;Si
HT-CF300A;HP;Toner (Laser);HP CF300A BLACK CARTUCHO DE TONER GENERICO Nº827A;29.500 Páginas;185;30,73   ;44,56   ;41,49   ;78,90   ;Si
HT-CF301A;HP;Toner (Laser);HP CF301A CYAN CARTUCHO DE TONER GENERICO Nº827A;32.000 Páginas;185;30,73   ;44,56   ;41,49   ;99,90   ;Si
HT-CF302A;HP;Toner (Laser);HP CF302A YELLOW CARTUCHO DE TONER GENERICO Nº827A;32.000 Páginas;185;30,73   ;44,56   ;41,49   ;99,90   ;Si
HT-CF303A;HP;Toner (Laser);HP CF303A MAGENTA CARTUCHO DE TONER GENERICO Nº827A;32.000 Páginas;185;30,73   ;44,56   ;41,49   ;99,90   ;Si
HT-CF310A;HP;Toner (Laser);HP CF310A BLACK CARTUCHO DE TONER GENERICO Nº826A;29.000 Páginas;185;22,12   ;32,07   ;29,86   ;74,90   ;Si
HT-CF311A;HP;Toner (Laser);HP CF311A CYAN CARTUCHO DE TONER GENERICO Nº826A;31.500 Páginas;185;22,12   ;32,07   ;29,86   ;74,90   ;Si
HT-CF312A;HP;Toner (Laser);HP CF312A YELLOW CARTUCHO DE TONER GENERICO Nº826A;31.500 Páginas;185;22,12   ;32,07   ;29,86   ;74,90   ;Si
HT-CF313A;HP;Toner (Laser);HP CF313A MAGENTA CARTUCHO DE TONER GENERICO Nº826A;31.500 Páginas;185;22,12   ;32,07   ;29,86   ;74,90   ;Si
HT-CF320X;HP;Toner (Laser);HP CF320X/CF320A BLACK CARTUCHO DE TONER GENERICO Nº653X/652A;21.000 Páginas;185;26,80   ;38,86   ;36,18   ;94,90   ;Si
HT-CF321A;HP;Toner (Laser);HP CF321A CYAN CARTUCHO DE TONER GENERICO Nº653A;16.500 Páginas;185;25,81   ;37,43   ;34,85   ;94,90   ;Si
HT-CF322A;HP;Toner (Laser);HP CF322A YELLOW CARTUCHO DE TONER GENERICO Nº653A;16.500 Páginas;185;25,81   ;37,43   ;34,85   ;94,90   ;Si
HT-CF323A;HP;Toner (Laser);HP CF323A MAGENTA CARTUCHO DE TONER GENERICO Nº653A;16.500 Páginas;185;25,81   ;37,43   ;34,85   ;94,90   ;Si
HT-CF325X;HP;Toner (Laser);HP CF325X BLACK CARTUCHO DE TONER GENERICO Nº25X;34.500 Páginas;185;50,48   ;73,19   ;68,15   ;159,90   ;Si
HT-CF330X;HP;Toner (Laser);HP CF330X BLACK CARTUCHO DE TONER GENERICO Nº654X;20.500 Páginas;185;30,35   ;44,01   ;40,97   ;89,90   ;No
HT-CF331A;HP;Toner (Laser);HP CF331A CYAN CARTUCHO DE TONER GENERICO Nº654A;15.000 Páginas;185;27,32   ;39,61   ;36,88   ;85,90   ;Si
HT-CF332A;HP;Toner (Laser);HP CF332A YELLOW CARTUCHO DE TONER GENERICO Nº654A;15.000 Páginas;185;27,32   ;39,61   ;36,88   ;85,90   ;Si
HT-CF333A;HP;Toner (Laser);HP CF333A MAGENTA CARTUCHO DE TONER GENERICO Nº654A;15.000 Páginas;185;27,32   ;39,61   ;36,88   ;85,90   ;Si
HT-CF350A;HP;Toner (Laser);HP CF350A BLACK CARTUCHO DE TONER GENERICO Nº130A;1.300 Páginas;185;3,29   ;4,61   ;4,44   ;21,90   ;No
HT-CF350A(P);HP;Toner (Laser);HP CF350A BLACK CARTUCHO DE TONER GENERICO Nº130A;1.300 Páginas;185;7,43   ;10,41   ;10,04   ;24,90   ;Si
HT-CF350A-PR;HP;Toner (Laser);HP CF350A BLACK CARTUCHO DE TONER REMANUFACTURADO Nº130A;1.300 Páginas;185;8,68   ;12,16   ;11,72   ;25,95   ;Si
HT-CF351A;HP;Toner (Laser);HP CF351A CYAN CARTUCHO DE TONER GENERICO Nº130A;1.000 Páginas;185;3,29   ;4,61   ;4,44   ;21,90   ;No
HT-CF351A(P);HP;Toner (Laser);HP CF351A CYAN CARTUCHO DE TONER GENERICO Nº130A;1.000 Páginas;185;7,43   ;10,41   ;10,04   ;24,90   ;Si
HT-CF351A-PR;HP;Toner (Laser);HP CF351A CYAN CARTUCHO DE TONER REMANUFACTURADO Nº130A;1.000 Páginas;185;8,68   ;12,16   ;11,72   ;25,95   ;Si
HT-CF352A;HP;Toner (Laser);HP CF352A YELLOW CARTUCHO DE TONER GENERICO Nº130A;1.000 Páginas;185;3,29   ;4,61   ;4,44   ;21,90   ;No
HT-CF352A(P);HP;Toner (Laser);HP CF352A YELLOW CARTUCHO DE TONER GENERICO Nº130A;1.000 Páginas;185;7,43   ;10,41   ;10,04   ;24,90   ;Si
HT-CF352A-PR;HP;Toner (Laser);HP CF352A YELLOW CARTUCHO DE TONER REMANUFACTURADO Nº130A;1.000 Páginas;185;8,68   ;12,16   ;11,72   ;25,95   ;Si
HT-CF353A;HP;Toner (Laser);HP CF353A MAGENTA CARTUCHO DE TONER GENERICO Nº130A;1.000 Páginas;185;3,29   ;4,61   ;4,44   ;21,90   ;No
HT-CF353A(P);HP;Toner (Laser);HP CF353A MAGENTA CARTUCHO DE TONER GENERICO Nº130A;1.000 Páginas;185;7,43   ;10,41   ;10,04   ;24,90   ;Si
HT-CF353A-PR;HP;Toner (Laser);HP CF353A MAGENTA CARTUCHO DE TONER REMANUFACTURADO Nº130A;1.000 Páginas;185;8,68   ;12,16   ;11,72   ;25,95   ;Si
HT-CF360X;HP;Toner (Laser);HP CF360X BLACK CARTUCHO DE TONER GENERICO Nº508X;12.500 Páginas;185;23,28   ;33,75   ;31,42   ;84,99   ;Si
HT-CF361X;HP;Toner (Laser);HP CF361X CYAN CARTUCHO DE TONER GENERICO Nº508X;9.500 Páginas;185;20,67   ;29,97   ;27,90   ;84,99   ;Si
HT-CF362X;HP;Toner (Laser);HP CF362X YELLOW CARTUCHO DE TONER GENERICO Nº508X;9.500 Páginas;185;20,67   ;29,97   ;27,90   ;84,99   ;Si
HT-CF363X;HP;Toner (Laser);HP CF363X MAGENTA CARTUCHO DE TONER GENERICO Nº508X;9.500 Páginas;185;20,67   ;29,97   ;27,90   ;84,99   ;Si
HT-CF380X-UNIV;HP;Toner (Laser);HP CC530A/CE410X/CE410A/CF380X/CF380A BLACK CARTUCHO DE TONER GENERICO Nº304A/305X/305A/312X/312A;4.400 Páginas;185;5,30   ;7,42   ;7,16   ;23,50   ;Si
HT-CF380X-UNIV;CANON;Toner (Laser);CANON 718 BLACK CARTUCHO DE TONER GENERICO 2662B002;4.400 Páginas;185;5,30   ;7,42   ;7,16   ;23,50   ;Si
HT-CF381A-UNIV;HP;Toner (Laser);HP CC531A/CE411A/CF381A CYAN CARTUCHO DE TONER GENERICO Nº304A/305A/312A;2.800 Páginas;185;5,30   ;7,42   ;7,16   ;23,50   ;Si
HT-CF381A-UNIV;CANON;Toner (Laser);CANON 718 CYAN CARTUCHO DE TONER GENERICO 2661B002;2.800 Páginas;185;5,30   ;7,42   ;7,16   ;23,50   ;Si
HT-CF382A-UNIV;HP;Toner (Laser);HP CC532A/CE412A/CF382A YELLOW CARTUCHO DE TONER GENERICO Nº304A/305A/312A;2.800 Páginas;185;5,30   ;7,42   ;7,16   ;23,50   ;Si
HT-CF382A-UNIV;CANON;Toner (Laser);CANON 718 YELLOW CARTUCHO DE TONER GENERICO 2659B002;2.800 Páginas;185;5,30   ;7,42   ;7,16   ;23,50   ;Si
HT-CF383A-UNIV;HP;Toner (Laser);HP CC533A/CE413A/CF383A MAGENTA CARTUCHO DE TONER GENERICO Nº304A/305A/312A;2.800 Páginas;185;5,30   ;7,42   ;7,16   ;23,50   ;Si
HT-CF383A-UNIV;CANON;Toner (Laser);CANON 718 MAGENTA CARTUCHO DE TONER GENERICO 2660B002;2.800 Páginas;185;5,30   ;7,42   ;7,16   ;23,50   ;Si
HT-CF400X;HP;Toner (Laser);HP CF400X/CF400A BLACK CARTUCHO DE TONER GENERICO Nº201X/201A;2.800 Páginas;185;8,41   ;11,77   ;11,35   ;46,90   ;Si
HT-CF401X;HP;Toner (Laser);HP CF401X/CF401A CYAN CARTUCHO DE TONER GENERICO Nº201X/201A;2.300 Páginas;185;8,41   ;11,77   ;11,35   ;46,90   ;Si
HT-CF402X;HP;Toner (Laser);HP CF402X/CF402A YELLOW CARTUCHO DE TONER GENERICO Nº201X/201A;2.300 Páginas;185;8,41   ;11,77   ;11,35   ;46,90   ;Si
HT-CF403X;HP;Toner (Laser);HP CF403X/CF403A MAGENTA CARTUCHO DE TONER GENERICO Nº201X/201A;2.300 Páginas;185;8,41   ;11,77   ;11,35   ;46,90   ;Si
HT-CF410X(410X);HP;Toner (Laser);HP CF410X/CF410A BLACK CARTUCHO DE TONER GENERICO Nº410X/410A;6.500 Páginas;185;14,44   ;20,22   ;19,50   ;69,90   ;Si
HT-CF411X(410X);HP;Toner (Laser);HP CF411X/CF411A CYAN CARTUCHO DE TONER GENERICO Nº410X/410A;5.000 Páginas;185;14,44   ;20,22   ;19,50   ;74,90   ;Si
HT-CF412X(410X);HP;Toner (Laser);HP CF412X/CF412A YELLOW CARTUCHO DE TONER GENERICO Nº410X/410A;5.000 Páginas;185;14,44   ;20,22   ;19,50   ;74,90   ;Si
HT-CF413X(410X);HP;Toner (Laser);HP CF413X/CF413A MAGENTA CARTUCHO DE TONER GENERICO Nº410X/410A;5.000 Páginas;185;14,44   ;20,22   ;19,50   ;74,90   ;Si
HT-CF530A;HP;Toner (Laser);HP CF530A BLACK CARTUCHO DE TONER GENERICO Nº205A;1.100 Páginas;185;19,67   ;28,52   ;26,56   ;41,90   ;Si
HT-CF531A;HP;Toner (Laser);HP CF531A CYAN CARTUCHO DE TONER GENERICO Nº205A;900 Páginas;185;19,69   ;28,55   ;26,58   ;41,90   ;Si
HT-CF532A;HP;Toner (Laser);HP CF532A YELLOW CARTUCHO DE TONER GENERICO Nº205A;900 Páginas;185;19,69   ;28,55   ;26,58   ;41,90   ;Si
HT-CF533A;HP;Toner (Laser);HP CF533A MAGENTA CARTUCHO DE TONER GENERICO Nº205A;900 Páginas;185;19,69   ;28,55   ;26,58   ;41,90   ;Si
HT-CF540A;HP;Toner (Laser);HP CF540A BLACK CARTUCHO DE TONER GENERICO Nº203A;1.400 Páginas;185;21,26   ;30,83   ;28,71   ;54,90   ;No
HT-CF540X;HP;Toner (Laser);HP CF540X/CF540A BLACK CARTUCHO DE TONER GENERICO Nº203X/203A;3.200 Páginas;185;27,46   ;39,81   ;37,07   ;64,90   ;Si
HT-CF541A;HP;Toner (Laser);HP CF541A CYAN CARTUCHO DE TONER GENERICO Nº203A;1.300 Páginas;185;21,59   ;31,31   ;29,15   ;54,90   ;No
HT-CF541X;HP;Toner (Laser);HP CF541X/CF541A CYAN CARTUCHO DE TONER GENERICO Nº203X/203A;2.500 Páginas;185;28,62   ;41,50   ;38,64   ;64,90   ;Si
HT-CF542A;HP;Toner (Laser);HP CF542A YELLOW CARTUCHO DE TONER GENERICO Nº203A;1.300 Páginas;185;21,59   ;31,31   ;29,15   ;54,90   ;No
HT-CF542X;HP;Toner (Laser);HP CF542X/CF542A YELLOW CARTUCHO DE TONER GENERICO Nº203X/203A;2.500 Páginas;185;28,62   ;41,50   ;38,64   ;64,90   ;Si
HT-CF543A;HP;Toner (Laser);HP CF543A MAGENTA CARTUCHO DE TONER GENERICO Nº203A;1.300 Páginas;185;21,59   ;31,31   ;29,15   ;54,90   ;No
HT-CF543X;HP;Toner (Laser);HP CF543X/CF543A MAGENTA CARTUCHO DE TONER GENERICO Nº203X/203A;2.500 Páginas;185;28,62   ;41,50   ;38,64   ;64,90   ;Si
HT-Q2610A;HP;Toner (Laser);HP Q2610A BLACK CARTUCHO DE TONER GENERICO Nº10A;6.000 Páginas;185;8,33   ;11,66   ;11,25   ;34,50   ;Si
HT-Q2612A;CANON;Toner (Laser);CANON FX10/FX9/104/703 BLACK CARTUCHO DE TONER GENERICO 0263B002/7616A005;2.000 Páginas;185;2,57   ;3,59   ;3,47   ;18,90   ;Si
HT-Q2612A;HP;Toner (Laser);HP Q2612A BLACK CARTUCHO DE TONER GENERICO Nº12A;2.000 Páginas;185;2,57   ;3,59   ;3,47   ;18,90   ;Si
HT-Q2612X;HP;Toner (Laser);HP Q2612X BLACK CARTUCHO DE TONER GENERICO Nº12X;2.500 Páginas;185;3,08   ;4,31   ;4,15   ;21,50   ;Si
HT-Q2670A;HP;Toner (Laser);HP Q2670A BLACK CARTUCHO DE TONER GENERICO Nº308A;6.000 Páginas;185;12,02   ;16,82   ;16,22   ;46,50   ;Si
HT-Q2671A;HP;Toner (Laser);HP Q2671A CYAN CARTUCHO DE TONER GENERICO Nº309A;4.000 Páginas;185;12,02   ;16,82   ;16,22   ;46,50   ;Si
HT-Q2672A;HP;Toner (Laser);HP Q2672A YELLOW CARTUCHO DE TONER GENERICO Nº309A;4.000 Páginas;185;12,02   ;16,82   ;16,22   ;46,50   ;Si
HT-Q2673A;HP;Toner (Laser);HP Q2673A MAGENTA CARTUCHO DE TONER GENERICO Nº309A;4.000 Páginas;185;12,02   ;16,82   ;16,22   ;46,50   ;Si
HT-Q2681A;HP;Toner (Laser);HP Q2681A CYAN CARTUCHO DE TONER GENERICO Nº311A;6.000 Páginas;185;11,97   ;16,75   ;16,15   ;51,50   ;Si
HT-Q2682A;HP;Toner (Laser);HP Q2682A YELLOW CARTUCHO DE TONER GENERICO Nº311A;6.000 Páginas;185;11,97   ;16,75   ;16,15   ;51,50   ;Si
HT-Q2683A;HP;Toner (Laser);HP Q2683A MAGENTA CARTUCHO DE TONER GENERICO Nº311A;6.000 Páginas;185;11,97   ;16,75   ;16,15   ;51,50   ;Si
HT-Q3960A;HP;Toner (Laser);HP Q3960A/C9700A BLACK CARTUCHO DE TONER GENERICO Nº122A/121A;5.000 Páginas;185;7,52   ;10,53   ;10,15   ;32,50   ;Si
HT-Q3960A;CANON;Toner (Laser);CANON 701 BLACK CARTUCHO DE TONER GENERICO 9287A003;5.000 Páginas;185;7,52   ;10,53   ;10,15   ;32,50   ;Si
HT-Q3961A;HP;Toner (Laser);HP Q3961A/C9701A CYAN CARTUCHO DE TONER GENERICO Nº122A/121A;4.000 Páginas;185;7,52   ;10,53   ;10,15   ;32,50   ;Si
HT-Q3961A;CANON;Toner (Laser);CANON 701 CYAN CARTUCHO DE TONER GENERICO 9286A003;4.000 Páginas;185;7,52   ;10,53   ;10,15   ;32,50   ;Si
HT-Q3962A;HP;Toner (Laser);HP Q3962A/C9702A YELLOW CARTUCHO DE TONER GENERICO Nº122A/121A;4.000 Páginas;185;7,52   ;10,53   ;10,15   ;32,50   ;Si
HT-Q3962A;CANON;Toner (Laser);CANON 701 YELLOW CARTUCHO DE TONER GENERICO 9284A003;4.000 Páginas;185;7,52   ;10,53   ;10,15   ;32,50   ;Si
HT-Q3963A;HP;Toner (Laser);HP Q3963A/C9703A MAGENTA CARTUCHO DE TONER GENERICO Nº122A/121A;4.000 Páginas;185;7,52   ;10,53   ;10,15   ;32,50   ;Si
HT-Q3963A;CANON;Toner (Laser);CANON 701 MAGENTA CARTUCHO DE TONER GENERICO 9285A003;4.000 Páginas;185;7,52   ;10,53   ;10,15   ;32,50   ;Si
HT-Q3964A;HP;Toner (Laser);HP Q3964A/C9704A TAMBOR DE IMAGEM GENERICO Nº122A/121A (DRUM);20.000 Páginas;185;20,27   ;29,40   ;27,37   ;57,50   ;Si
HT-Q5942X;HP;Toner (Laser);HP Q5942X/Q1338A/Q1339A/Q5945A BLACK TONER GENERICO UNIVERSAL Nº42X/38A/39A/45A;20.000 Páginas;185;15,98   ;23,18   ;21,58   ;49,95   ;No
HT-Q5950A;HP;Toner (Laser);HP Q5950A BLACK CARTUCHO DE TONER GENERICO Nº643A;11.000 Páginas;185;24,39   ;35,37   ;32,93   ;59,90   ;Si
HT-Q5951A;HP;Toner (Laser);HP Q5951A CYAN CARTUCHO DE TONER GENERICO Nº643A;10.000 Páginas;185;24,39   ;35,37   ;32,93   ;59,90   ;Si
HT-Q5952A;HP;Toner (Laser);HP Q5952A YELLOW CARTUCHO DE TONER GENERICO Nº643A;10.000 Páginas;185;24,39   ;35,37   ;32,93   ;59,90   ;Si
HT-Q5953A;HP;Toner (Laser);HP Q5953A MAGENTA CARTUCHO DE TONER GENERICO Nº643A;10.000 Páginas;185;24,39   ;35,37   ;32,93   ;59,90   ;Si
HT-Q6000A;HP;Toner (Laser);HP Q6000A BLACK CARTUCHO DE TONER GENERICO Nº124A;2.500 Páginas;185;7,40   ;10,36   ;9,99   ;29,90   ;Si
HT-Q6000A;CANON;Toner (Laser);CANON 707 BLACK CARTUCHO DE TONER GENERICO 9424A004;2.500 Páginas;185;7,40   ;10,36   ;9,99   ;29,90   ;Si
HT-Q6001A;HP;Toner (Laser);HP Q6001A CYAN CARTUCHO DE TONER GENERICO Nº124A;2.000 Páginas;185;7,40   ;10,36   ;9,99   ;29,90   ;Si
HT-Q6001A;CANON;Toner (Laser);CANON 707 CYAN CARTUCHO DE TONER GENERICO 9423A004;2.000 Páginas;185;7,40   ;10,36   ;9,99   ;29,90   ;Si
HT-Q6002A;HP;Toner (Laser);HP Q6002A YELLOW CARTUCHO DE TONER GENERICO Nº124A;2.000 Páginas;185;7,40   ;10,36   ;9,99   ;29,90   ;Si
HT-Q6002A;CANON;Toner (Laser);CANON 707 YELLOW CARTUCHO DE TONER GENERICO 9421A004;2.000 Páginas;185;7,40   ;10,36   ;9,99   ;29,90   ;Si
HT-Q6003A;HP;Toner (Laser);HP Q6003A MAGENTA CARTUCHO DE TONER GENERICO Nº124A;2.000 Páginas;185;7,40   ;10,36   ;9,99   ;29,90   ;Si
HT-Q6003A;CANON;Toner (Laser);CANON 707 MAGENTA CARTUCHO DE TONER GENERICO 9422A004;2.000 Páginas;185;7,40   ;10,36   ;9,99   ;29,90   ;No
HT-Q6460A;HP;Toner (Laser);HP Q6460A BLACK CARTUCHO DE TONER GENERICO Nº644A;12.000 Páginas;185;24,39   ;35,37   ;32,93   ;59,90   ;Si
HT-Q6461A;HP;Toner (Laser);HP Q6461A CYAN CARTUCHO DE TONER GENERICO Nº644A;12.000 Páginas;185;24,39   ;35,37   ;32,93   ;59,90   ;No
HT-Q6462A;HP;Toner (Laser);HP Q6462A YELLOW CARTUCHO DE TONER GENERICO Nº644A;12.000 Páginas;185;24,39   ;35,37   ;32,93   ;59,90   ;No
HT-Q6463A;HP;Toner (Laser);HP Q6463A MAGENTA CARTUCHO DE TONER GENERICO Nº644A;12.000 Páginas;185;24,39   ;35,37   ;32,93   ;59,90   ;Si
HT-Q6470A;HP;Toner (Laser);HP Q6470A BLACK CARTUCHO DE TONER GENERICO Nº501A;6.000 Páginas;185;11,32   ;15,85   ;15,28   ;45,90   ;Si
HT-Q6470A;CANON;Toner (Laser);CANON 711/C-EXV26 BLACK CARTUCHO DE TONER GENERICO 1660B002/1660B006;6.000 Páginas;185;11,32   ;15,85   ;15,28   ;45,90   ;Si
HT-Q6471A;HP;Toner (Laser);HP Q6471A CYAN CARTUCHO DE TONER GENERICO Nº502A;4.000 Páginas;185;11,32   ;15,85   ;15,28   ;45,90   ;Si
HT-Q6472A;HP;Toner (Laser);HP Q6472A YELLOW CARTUCHO DE TONER GENERICO Nº502A;4.000 Páginas;185;11,32   ;15,85   ;15,28   ;45,90   ;Si
